bio19,bio18,bio17,bio16,bio15,bio14,bio13,bio12,bio11,bio10,bio9,bio8,bio7,bio6,bio5,bio4,bio3,bio2,bio1,wind_avg,vapr_avg,srad_avg
19,397,19,477,90.86634,5,171,825,20.12133,23.128,20.12133,22.90467,14.872,14.148,29.02,130.61226,74.52259,11.083,22.0465,21.848,22.3244,181899.25
7,177,1,363,90.4469,0,125,667,22.76267,25.41267,22.80067,24.748,16.44,15.388,31.828,107.65416,78.27048,12.86767,24.2045,20.76,24.0072,193162.3281
5,229,5,448,91.34757,1,154,813,21.95533,24.72933,21.95533,24.17867,15.948,15.076,31.024,116.2385,77.48098,12.35667,23.57933,21.528,23.7108,193327.6719
10,188,10,367,86.42032,2,128,676,18.61267,21.41333,18.61267,20.974,16.484,11.5,27.984,117.43809,77.96449,12.85167,20.28017,24.396,20.4724,187708.8281
7,342,7,381,92.1066,2,139,669,21.45067,24.466,21.45067,24.184,15.428,15.18,30.608,131.57217,76.84081,11.855,23.37717,21.336,23.8708,183163.25
8,270,8,341,89.72791,2,120,623,20.65267,23.67733,20.65267,23.388,16.644,13.648,30.292,127.59212,77.32316,12.86967,22.5345,22.048,22.8868,186773.4219
6,314,6,347,93.53327,1,130,605,22.08133,25.07,22.08133,24.84533,15.708,15.668,31.376,131.30856,76.80375,12.06433,24.00617,21.16,24.7464,186386.9219
6,314,6,347,93.53327,1,130,605,22.08133,25.07,22.08133,24.84533,15.708,15.668,31.376,131.30856,76.80375,12.06433,24.00617,21.16,24.7464,186386.9219
50,294,46,366,68.73878,8,124,783,20.104,23.06133,20.74733,22.91867,15.5,13.776,29.276,128.99236,77.5613,12.022,22.021,22.684,23.2196,183041.25
50,294,46,366,68.73878,8,124,783,20.104,23.06133,20.74733,22.91867,15.5,13.776,29.276,128.99236,77.5613,12.022,22.021,22.684,23.2196,183041.25
40,275,37,333,71.01808,8,115,697,18.63,21.57067,19.31533,21.382,15.12,12.492,27.612,126.28195,77.83951,11.76933,20.49533,24.616,21.4988,184836
51,284,46,352,67.89042,9,120,757,19.518,22.42467,20.14933,22.27667,15.092,13.368,28.46,126.43622,77.81606,11.744,21.39933,23.34,22.5832,184272.6719
15,297,15,330,82.70272,4,126,637,21.164,24.00933,21.164,23.818,15.088,14.996,30.084,125.09971,77.61798,11.711,23.00583,22.284,24.1252,184180.4219
59,335,57,374,65.96568,14,138,813,19.056,21.89933,19.75067,21.73,14.96,12.956,27.916,123.98417,78.44029,11.73467,20.888,24.568,21.9576,184285
59,335,57,374,65.96568,14,138,813,19.056,21.89933,19.75067,21.73,14.96,12.956,27.916,123.98417,78.44029,11.73467,20.888,24.568,21.9576,184285
